ars_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_free_parking,d_cloth_storage,d_sound_system,d_children,d_barbecue,d_cooking,d_amendities,d_ac,d_baby_utilities,d_bath,d_location,d_bike,d_security,d_mandatory_cleaning,d_coffee_maker,d_fridge,d_office,d_laundry,d_wifi,d_eletric_car_charger,d_videogame,d_garden_balcony_backyard,d_luggage_storage,d_paid_parking,d_pets,d_swimming_pool,d_self_checkin,d_sauna,d_smoking,d_instant_bookable,f_neighbourhood_cleansed,f_property_type,price,id,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,ln_n_minimum_nights,f_minimum_nights,ln_n_reviews_per_month
6664,0,5,2,NA,0,NA,7,4,NA,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,Palermo,Entire apartment,"$6,664.00",72928,8.804475183846678,25,1.6094379124341003,2.5902903939802346,1.3862943611198906,2,0,0,NA,NA,NA,NA,NA,NA,1.9459101490553132,3,NA
4165,0,3,1,90,2,0.02,7,2,3574,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Palermo,Entire apartment,"$4,165.00",72935,8.334471554600944,9,1.0986122886681098,1.206948960812582,0.6931471805599453,1,1.0986122886681098,1,8.181440695719374,66.93597185757311,547.6326841630754,12773476,45652403224,4.499809670330265,1.9459101490553132,3,-3.912023005428146
1249,100,3,1,95,26,0.24,14,1,3216,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Palermo,Entire apartment,"$1,249.00",73180,7.130098510125578,9,1.0986122886681098,1.206948960812582,0,1,3.295836866004329,1,8.075893630298857,65.22005792790166,526.71025038766345,10342656,33261981696,4.553876891600541,2.6390573296152584,3,-1.4271163556401458
3332,75,2,1,84,27,0.23,3,2,3545,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Palermo,Entire apartment,"$3,332.00",73680,8.111328003286733,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,3.332204510175204,1,8.173293438966228,66.80272563944838,545.9982791739645,12567025,44550103625,4.430816798843313,1.0986122886681098,3,-1.4696759700589417
2273,100,3,1.5,96,113,0.95,14,2,3582,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,Recoleta,Entire apartment,"$2,273.00",75094,7.728855823852543,9,1.0986122886681098,1.206948960812582,0.6931471805599453,1,4.736198448394496,2,8.183676582620658,66.97256240893373,548.0817906640915,12830724,45959653368,4.564348191467836,2.6390573296152584,3,-0.05129329438755058
3332,50,2,1,100,6,0.05,5,1,3404,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Recoleta,Entire apartment,"$3,332.00",76005,8.111328003286733,4,0.6931471805599453,0.4804530139182014,0,1,1.9459101490553132,1,8.132706489693264,66.14091484749893,537.9046474145042,11587216,39442883264,4.605170185988092,1.6094379124341003,3,-2.995732273553991
3748,100,3,1,93,324,2.72,2,2,3576,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,Monserrat,Entire apartment,"$3,748.00",76385,8.228977643358313,9,1.0986122886681098,1.206948960812582,0.6931471805599453,1,5.783825182329737,2,8.182000136293405,66.9451262303053,547.7450319405373,12787776,45729086976,4.532599493153256,0.6931471805599453,2,1.000631880307906
1999,0,2,1,90,22,0.18,7,2,3574,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,Retiro,Entire apartment,"$1,999.00",77024,7.6004023345004,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,3.1354942159291497,1,8.181440695719374,66.93597185757311,547.6326841630754,12773476,45652403224,4.499809670330265,1.9459101490553132,3,-1.7147984280919266
4248,100,3,1.5,98,20,0.19,20,2,3224,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Palermo,Entire apartment,"$4,248.00",77404,8.354203562921775,9,1.0986122886681098,1.206948960812582,0.6931471805599453,1,3.044522437723423,1,8.07837810362652,65.2601927851524,527.1965124340205,10394176,33510823424,4.584967478670572,2.995732273553991,3,-1.6607312068216509
1666,100,2,1,93,119,1.03,7,2,3451,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,Palermo,Entire apartment,"$1,666.00",77704,7.418180822726788,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,4.787491742782046,2,8.146419323098003,66.36414778774453,540.6301758990137,11909401,41099342851,4.532599493153256,1.9459101490553132,3,0.02955880224154443
6247,NA,3,1,NA,0,NA,2,5,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,Recoleta,Entire apartment,"$6,247.00",77776,8.73985662749357,9,1.0986122886681098,1.206948960812582,1.6094379124341003,1,0,0,NA,NA,NA,NA,NA,NA,0.6931471805599453,2,NA
